Home,Away,p1,p2,p3
Blackburn,Wolves,39,21,36
Fulham,Aston Villa,18,20,20
Liverpool,Sunderland,72,33,51
Newcastle,Arsenal,66,37,65
QPR,Bolton,9,3,12
Wigan,Norwich,1,1,3
Stoke,Chelsea,27,20,37
West Brom,Man United,40,29,49
Man City,Swansea,12,2,6
Arsenal,Liverpool,73,56,81
