"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"98","Dep.Pasto","Ind.Medellin",4,1,0.00636134896360617
"99","Dep.Pasto","Ind.Medellin",4,2,0.00629927059685877
"100","Dep.Pasto","Ind.Medellin",4,3,0.00418511677921664
"101","Dep.Pasto","Ind.Medellin",4,4,0.00343371480724704
"102","Dep.Pasto","Ind.Medellin",4,5,0.00084261680942406
"103","Dep.Pasto","Ind.Medellin",5,0,0.000745973999998005
"104","Dep.Pasto","Ind.Medellin",5,1,0.00147055818680251
"105","Dep.Pasto","Ind.Medellin",5,2,0.00146777086719624
"106","Dep.Pasto","Ind.Medellin",5,3,0.000988438136827398
"107","Dep.Pasto","Ind.Medellin",5,4,0.000504631046526948
"108","Dep.Pasto","Ind.Medellin",5,5,0.000544876958142541
"109","DeportesTolima","Millonarios",0,0,0.063703873807697
"110","DeportesTolima","Millonarios",0,1,0.112196548150473
"111","DeportesTolima","Millonarios",0,2,0.124326773894811
"112","DeportesTolima","Millonarios",0,3,0.0918820437563613
"113","DeportesTolima","Millonarios",0,4,0.0509486072977043
"114","DeportesTolima","Millonarios",0,5,0.0226100041692808
"115","DeportesTolima","Millonarios",1,0,0.035565818011303
"116","DeportesTolima","Millonarios",1,1,0.097839721115142
"117","DeportesTolima","Millonarios",1,2,0.0924875045566348
"118","DeportesTolima","Millonarios",1,3,0.0701767905363514
"119","DeportesTolima","Millonarios",1,4,0.0398919677517949
"120","DeportesTolima","Millonarios",1,5,0.018122856485622
"121","DeportesTolima","Millonarios",2,0,0.0125462397274105
"122","DeportesTolima","Millonarios",2,1,0.0292701769359461
"123","DeportesTolima","Millonarios",2,2,0.0446619695164299
"124","DeportesTolima","Millonarios",2,3,0.0267311147147248
"125","DeportesTolima","Millonarios",2,4,0.0156743557248441
"126","DeportesTolima","Millonarios",2,5,0.00735705169256627
"127","DeportesTolima","Millonarios",3,0,0.00296303758447164
"128","DeportesTolima","Millonarios",3,1,0.0070234172247978
"129","DeportesTolima","Millonarios",3,2,0.00840519509646533
"130","DeportesTolima","Millonarios",3,3,0.0110933184834018
"131","DeportesTolima","Millonarios",3,4,0.00411073404234145
"132","DeportesTolima","Millonarios",3,5,0.00200989861190775
"133","DeportesTolima","Millonarios",4,0,0.000526841669019575
"134","DeportesTolima","Millonarios",4,1,0.00126244429072932
"135","DeportesTolima","Millonarios",4,2,0.00154135655297243
"136","DeportesTolima","Millonarios",4,3,0.00127782603895643
"137","DeportesTolima","Millonarios",4,4,0.00216700740830816
"138","DeportesTolima","Millonarios",4,5,0.000414109296448623
"139","DeportesTolima","Millonarios",5,0,7.51970770842882e-05
"140","DeportesTolima","Millonarios",5,1,0.000181427161919938
"141","DeportesTolima","Millonarios",5,2,0.000225266140204366
"142","DeportesTolima","Millonarios",5,3,0.000192220059938143
"143","DeportesTolima","Millonarios",5,4,0.000126617804542986
"144","DeportesTolima","Millonarios",5,5,0.000410667611393112
"145","Envigado","Patriotas",0,0,0.17173560859607
"146","Envigado","Patriotas",0,1,0.191181293746865
"147","Envigado","Patriotas",0,2,0.116773167951541
"148","Envigado","Patriotas",0,3,0.0482549276480091
"149","Envigado","Patriotas",0,4,0.01515996216656
"150","Envigado","Patriotas",0,5,0.00385746254082245
"151","Envigado","Patriotas",1,0,0.0825775131860604
"152","Envigado","Patriotas",1,1,0.127141002862334
"153","Envigado","Patriotas",1,2,0.0726744903687131
"154","Envigado","Patriotas",1,3,0.0313673873886674
"155","Envigado","Patriotas",1,4,0.0100952095015129
"156","Envigado","Patriotas",1,5,0.00259600158031961
"157","Envigado","Patriotas",2,0,0.0222158184231494
"158","Envigado","Patriotas",2,1,0.0313652519243174
"159","Envigado","Patriotas",2,2,0.0322250333292018
"160","Envigado","Patriotas",2,3,0.010161193554659
"161","Envigado","Patriotas",2,4,0.00345880873255655
