g1,g2,team1,team2
0,0,Fortaleza,DepPasto
4,0,Huila,DepPasto
2,2,Junior,DepPasto
1,1,Millonarios,DepPasto
0,0,OnceCaldas,DepPasto
2,1,Patriotas,DepPasto
2,2,Petrolera,DepPasto
2,1,SantaFe,DepPasto
1,1,Aguilas,Envigado
3,2,AtlNacional,Envigado
0,1,Bucaramanga,Envigado
1,1,Chico,Envigado
1,1,Cortulua,Envigado
2,1,DeportesTolima,Envigado
2,2,DepPasto,Envigado
1,0,Huila,Envigado
1,0,JaguaresdeCordoba,Envigado
2,1,Patriotas,Envigado
3,2,Aguilas,Fortaleza
4,1,AtlNacional,Fortaleza
0,0,Bucaramanga,Fortaleza
1,0,Chico,Fortaleza
1,0,DepCali,Fortaleza
4,0,Envigado,Fortaleza
3,0,IndMedellin,Fortaleza
0,1,LaEquidad,Fortaleza
2,1,Petrolera,Fortaleza
4,0,SantaFe,Fortaleza
3,1,Aguilas,Huila
0,3,Cortulua,Huila
5,1,DepCali,Huila
1,0,DeportesTolima,Huila
1,1,Fortaleza,Huila
1,0,Junior,Huila
2,1,Millonarios,Huila
3,0,OnceCaldas,Huila
0,0,Petrolera,Huila
1,0,SantaFe,Huila
1,1,AtlNacional,IndMedellin
2,2,Bucaramanga,IndMedellin
1,1,Chico,IndMedellin
1,1,DeportesTolima,IndMedellin
1,0,DepPasto,IndMedellin
0,1,Envigado,IndMedellin
0,3,Huila,IndMedellin
2,2,JaguaresdeCordoba,IndMedellin
2,2,LaEquidad,IndMedellin
0,0,Patriotas,IndMedellin
2,0,Aguilas,JaguaresdeCordoba
2,0,Cortulua,JaguaresdeCordoba
3,2,DepCali,JaguaresdeCordoba
0,1,DepPasto,JaguaresdeCordoba
1,1,Fortaleza,JaguaresdeCordoba
0,1,Huila,JaguaresdeCordoba
1,0,Junior,JaguaresdeCordoba
2,0,Millonarios,JaguaresdeCordoba
4,0,OnceCaldas,JaguaresdeCordoba
2,0,Patriotas,JaguaresdeCordoba
2,1,Aguilas,Junior
1,1,Envigado,Junior
1,1,Fortaleza,Junior
0,1,IndMedellin,Junior
0,2,JaguaresdeCordoba,Junior
0,0,LaEquidad,Junior
3,1,Millonarios,Junior
0,0,OnceCaldas,Junior
1,1,Petrolera,Junior
3,2,SantaFe,Junior
3,0,AtlNacional,LaEquidad
2,1,Bucaramanga,LaEquidad
3,4,Chico,LaEquidad
1,0,DeportesTolima,LaEquidad
2,1,DepPasto,LaEquidad
0,0,Envigado,LaEquidad
0,1,Fortaleza,LaEquidad
3,1,Huila,LaEquidad
1,1,JaguaresdeCordoba,LaEquidad
0,0,Patriotas,LaEquidad
2,1,Aguilas,Millonarios
1,1,Bucaramanga,Millonarios
1,1,DepCali,Millonarios
2,0,Envigado,Millonarios
2,0,Fortaleza,Millonarios
1,0,IndMedellin,Millonarios
0,3,LaEquidad,Millonarios
0,1,OnceCaldas,Millonarios
0,2,Petrolera,Millonarios
0,0,SantaFe,Millonarios
1,1,Aguilas,OnceCaldas
0,3,Bucaramanga,OnceCaldas
1,0,DepCali,OnceCaldas
1,0,DepPasto,OnceCaldas
0,1,Envigado,OnceCaldas
1,1,Fortaleza,OnceCaldas
2,1,IndMedellin,OnceCaldas
3,2,LaEquidad,OnceCaldas
1,3,Petrolera,OnceCaldas
2,0,SantaFe,OnceCaldas
0,1,Aguilas,Patriotas
1,0,Chico,Patriotas
2,1,Cortulua,Patriotas
3,2,Fortaleza,Patriotas
0,0,Huila,Patriotas
1,0,Junior,Patriotas
3,0,Millonarios,Patriotas
3,1,OnceCaldas,Patriotas
0,1,Petrolera,Patriotas
1,0,SantaFe,Patriotas
0,0,AtlNacional,Petrolera
1,1,Bucaramanga,Petrolera
1,1,Chico,Petrolera
3,2,DepCali,Petrolera
2,1,DeportesTolima,Petrolera
0,1,Envigado,Petrolera
4,1,IndMedellin,Petrolera
2,1,JaguaresdeCordoba,Petrolera
3,1,LaEquidad,Petrolera
0,1,SantaFe,Petrolera
0,1,AtlNacional,SantaFe
0,0,Bucaramanga,SantaFe
0,1,Chico,SantaFe
3,4,DepCali,SantaFe
2,2,DeportesTolima,SantaFe
2,1,Envigado,SantaFe
2,1,IndMedellin,SantaFe
2,1,JaguaresdeCordoba,SantaFe
0,2,LaEquidad,SantaFe
2,0,Millonarios,SantaFe
