g1,g2,team1,team2
1,0,AtlNacional,Aguilas
0,0,Bucaramanga,Aguilas
0,2,Chico,Aguilas
3,1,DepCali,Aguilas
0,3,DeportesTolima,Aguilas
2,2,Envigado,Aguilas
2,0,IndMedellin,Aguilas
2,2,LaEquidad,Aguilas
2,1,Petrolera,Aguilas
1,0,SantaFe,Aguilas
2,0,Cortulua,AtlNacional
2,0,DeportesTolima,AtlNacional
0,2,DepPasto,AtlNacional
0,1,Huila,AtlNacional
1,1,IndMedellin,AtlNacional
0,3,JaguaresdeCordoba,AtlNacional
3,3,Junior,AtlNacional
2,1,Millonarios,AtlNacional
0,3,OnceCaldas,AtlNacional
2,2,Patriotas,AtlNacional
7,0,AtlNacional,Bucaramanga
1,1,Chico,Bucaramanga
0,0,Cortulua,Bucaramanga
1,1,DeportesTolima,Bucaramanga
0,0,DepPasto,Bucaramanga
0,0,Huila,Bucaramanga
1,1,JaguaresdeCordoba,Bucaramanga
1,1,Junior,Bucaramanga
3,3,Patriotas,Bucaramanga
3,6,Petrolera,Bucaramanga
2,0,AtlNacional,Chico
2,2,Cortulua,Chico
2,1,DeportesTolima,Chico
2,0,DepPasto,Chico
3,1,Huila,Chico
1,1,JaguaresdeCordoba,Chico
1,1,Junior,Chico
3,1,Millonarios,Chico
0,0,OnceCaldas,Chico
1,0,Patriotas,Chico
2,1,Aguilas,Cortulua
3,2,DepCali,Cortulua
0,1,Fortaleza,Cortulua
2,0,IndMedellin,Cortulua
2,1,Junior,Cortulua
0,0,LaEquidad,Cortulua
1,1,Millonarios,Cortulua
1,3,OnceCaldas,Cortulua
1,1,Petrolera,Cortulua
1,1,SantaFe,Cortulua
2,1,AtlNacional,DepCali
1,1,Bucaramanga,DepCali
1,0,Chico,DepCali
4,1,Cortulua,DepCali
0,1,DepPasto,DepCali
0,0,Envigado,DepCali
1,1,IndMedellin,DepCali
2,0,Junior,DepCali
1,1,LaEquidad,DepCali
2,1,Patriotas,DepCali
3,1,Cortulua,DeportesTolima
5,1,DepCali,DeportesTolima
1,1,DepPasto,DeportesTolima
2,1,Fortaleza,DeportesTolima
0,2,Huila,DeportesTolima
0,0,JaguaresdeCordoba,DeportesTolima
2,1,Junior,DeportesTolima
2,1,Millonarios,DeportesTolima
3,2,OnceCaldas,DeportesTolima
2,1,Patriotas,DeportesTolima
1,1,Aguilas,DepPasto
1,1,Cortulua,DepPasto
