"","Home.Team","Away.Team","Home","Draw","Away"
"1","AmericaDeCali","Aguilas",0.614030066543384,0.295265238545656,0.0907046949109601
"2","Atl.Nacional","Aguilas",0.751832271562926,0.222059129256395,0.026108599180679
"3","Dep.Cali","Aguilas",0.628066463052566,0.283692506284197,0.0882410306632368
"4","Dep.Pasto","Aguilas",0.65252489036465,0.272473182622691,0.0750019270126594
"5","DeportesTolima","Aguilas",0.546271792819808,0.317107146273057,0.136621060907135
"6","Envigado","Aguilas",0.432102142506799,0.399269326232627,0.168628531260574
"7","LaEquidad","Aguilas",0.42130881925472,0.440548243523611,0.138142937221669
"8","OnceCaldas","Aguilas",0.352404035576392,0.433311226402808,0.2142847380208
"9","SantaFe","Aguilas",0.431114316005752,0.42738326054423,0.141502423450018
"10","Tigres","Aguilas",0.305713801432432,0.489613990890222,0.204672207677347
"11","Bucaramanga","AmericaDeCali",0.35207892427693,0.384510776804143,0.263410298918927
"12","Cortulua","AmericaDeCali",0.248423172834534,0.305731861692938,0.445844965472528
"13","Dep.Cali","AmericaDeCali",0.51558281178125,0.283044601627684,0.201372586591065
"14","DeportesTolima","AmericaDeCali",0.403710328251295,0.294618857566302,0.301670814182403
"15","Huila","AmericaDeCali",0.284371835389582,0.343748938841507,0.371879225768912
"16","Ind.Medellin","AmericaDeCali",0.570635324527634,0.250104072960057,0.179260602512309
"17","LaEquidad","AmericaDeCali",0.330755736537196,0.378115254387326,0.291129009075477
"18","Millonarios","AmericaDeCali",0.553043433351799,0.281185221406165,0.165771345242036
"19","Patriotas","AmericaDeCali",0.367781077211361,0.353745949601569,0.278472973187071
"20","Petrolera","AmericaDeCali",0.436086260850582,0.308347851392914,0.255565887756504
"21","AmericaDeCali","Atl.Nacional",0.201273272031409,0.354767612812725,0.443959115155866
"22","Bucaramanga","Atl.Nacional",0.137315020550453,0.418531172666745,0.444153806782803
"23","Cortulua","Atl.Nacional",0.0751724019535933,0.254214315869189,0.670613282177217
"24","DeportesTolima","Atl.Nacional",0.1398703167597,0.296469538402693,0.563660144837607
"25","Huila","Atl.Nacional",0.0967493998882616,0.319397775829862,0.583852824281877
"26","Ind.Medellin","Atl.Nacional",0.230993114302648,0.323713559885264,0.445293325812087
"27","LaEquidad","Atl.Nacional",0.124632508938612,0.395260389813959,0.480107101247429
"28","Millonarios","Atl.Nacional",0.236545783334683,0.37734591373522,0.386108302930096
"29","Patriotas","Atl.Nacional",0.138767454415613,0.378023465157491,0.483209080426896
"30","Petrolera","Atl.Nacional",0.164239375861618,0.340224724265908,0.495535899872474
"31","Aguilas","Bucaramanga",0.274906607701005,0.492405696648867,0.232687695650128
"32","Cortulua","Bucaramanga",0.302155185914289,0.390127991588497,0.307716822497214
"33","Huila","Bucaramanga",0.320679842422258,0.42673796764585,0.252582189931892
"34","Ind.Medellin","Bucaramanga",0.598182905456714,0.278280142323393,0.123536952219893
"35","JaguaresdeCordoba","Bucaramanga",0.389598593864602,0.442712303139156,0.167689102996242
"36","Junior","Bucaramanga",0.440972264168478,0.367091314622493,0.191936421209029
"37","Millonarios","Bucaramanga",0.561577987574747,0.323284363928326,0.115137648496927
"38","Patriotas","Bucaramanga",0.387738444648815,0.424182288353435,0.18807926699775
"39","Petrolera","Bucaramanga",0.465026233854561,0.360642684527071,0.174331081618368
"40","SantaFe","Bucaramanga",0.35449630130248,0.444979345299787,0.200524353397733
"41","Aguilas","Cortulua",0.456666150662236,0.372367384128154,0.17096646520961
"42","Dep.Cali","Cortulua",0.756701815934339,0.182167642197462,0.061130541868199
"43","Dep.Pasto","Cortulua",0.780010855848876,0.170148386942715,0.0498407572084094
"44","Huila","Cortulua",0.522026527237762,0.309618458516567,0.16835501424567
"45","JaguaresdeCordoba","Cortulua",0.608109533531798,0.289784084486746,0.102106381981456
"46","Junior","Cortulua",0.666545500059542,0.231151202809502,0.102303297130956
"47","Millonarios","Cortulua",0.777827274338473,0.173434494301025,0.0487382313605021
"48","Petrolera","Cortulua",0.691211826373474,0.219725598231535,0.0890625753949906
"49","SantaFe","Cortulua",0.564943195067555,0.306152834618248,0.128903970314197
"50","Tigres","Cortulua",0.408706338552226,0.378642329036798,0.212651332410976
"51","AmericaDeCali","Dep.Cali",0.504222642938917,0.286109267519102,0.209668089541981
"52","Atl.Nacional","Dep.Cali",0.720043457418506,0.2209291022709,0.0590274403105943
"53","Bucaramanga","Dep.Cali",0.352614163574244,0.377434873489512,0.269950962936244
"54","DeportesTolima","Dep.Cali",0.401681263188774,0.290161143888945,0.308157592922281
"55","Envigado","Dep.Cali",0.308659842249252,0.329800470457312,0.361539687293436
"56","Ind.Medellin","Dep.Cali",0.569880804450662,0.247479037353275,0.182640158196063
"57","LaEquidad","Dep.Cali",0.330658810106845,0.370657879560759,0.298683310332396
"58","OnceCaldas","Dep.Cali",0.23133212033549,0.325135303179474,0.443532576485037
"59","Patriotas","Dep.Cali",0.367249896048568,0.347588707089971,0.285161396861461
"60","Tigres","Dep.Cali",0.211198596706767,0.366970896058621,0.421830507234612
"61","AmericaDeCali","Dep.Pasto",0.449590469308421,0.304080469864913,0.246329060826666
"62","Atl.Nacional","Dep.Pasto",0.673232412350197,0.251545056463569,0.0752225311862341
"63","Bucaramanga","Dep.Pasto",0.310146959838106,0.389116940523165,0.300736099638729
"64","Cortulua","Dep.Pasto",0.20827179967869,0.294411020027903,0.497317180293407
"65","Dep.Cali","Dep.Pasto",0.459656680811107,0.297350275548357,0.242993043640536
"66","Envigado","Dep.Pasto",0.265945341330118,0.33314307252558,0.400911586144302
"67","Huila","Dep.Pasto",0.244395832246738,0.337766605657406,0.417837562095856
"68","Ind.Medellin","Dep.Pasto",0.511938083650252,0.266560529580409,0.221501386769339
"69","OnceCaldas","Dep.Pasto",0.198608709616491,0.321855713842517,0.479535576540992
"70","Tigres","Dep.Pasto",0.181103983802746,0.364685012147928,0.454211004049327
"71","Bucaramanga","DeportesTolima",0.463102944008473,0.341543486837707,0.19535356915382
"72","Cortulua","DeportesTolima",0.354871603097733,0.299080723122716,0.34604767377955
"73","Dep.Pasto","DeportesTolima",0.681346872022145,0.215747551302115,0.10290557667574
"74","Huila","DeportesTolima",0.392177119742509,0.323223299763665,0.284599580493827
"75","Ind.Medellin","DeportesTolima",0.698936186681507,0.196302365943276,0.104761447375217
"76","JaguaresdeCordoba","DeportesTolima",0.495238585349874,0.324144780978788,0.180616633671338
"77","Junior","DeportesTolima",0.53588333583905,0.27060381043149,0.19351285372946
"78","Millonarios","DeportesTolima",0.678940360681866,0.219876557942372,0.101183081375762
"79","Patriotas","DeportesTolima",0.485216280239734,0.313013017999422,0.201770701760844
"80","Petrolera","DeportesTolima",0.566090802286094,0.262197611619761,0.171711586094145
"81","Aguilas","Envigado",0.370377659608515,0.419022824148312,0.210599516243174
"82","AmericaDeCali","Envigado",0.655656956030795,0.245307414387547,0.0990356295816586
"83","Atl.Nacional","Envigado",0.803263041143047,0.171591482230605,0.0251454766263481
"84","Bucaramanga","Envigado",0.478773100491028,0.372943209459363,0.148283690049609
"85","Cortulua","Envigado",0.40239361885188,0.333347240635901,0.264259140512219
"86","DeportesTolima","Envigado",0.575174862869397,0.270781788033057,0.154043349097546
"87","Huila","Envigado",0.426649392929886,0.356529410603543,0.216821196466571
"88","Ind.Medellin","Envigado",0.723836554882859,0.197965755304235,0.0781976898129061
"89","LaEquidad","Envigado",0.460468263614751,0.37341337360486,0.166118362780389
"90","Patriotas","Envigado",0.507579481191815,0.339289718518116,0.153130800290069
"91","Aguilas","Huila",0.381387633383952,0.427023017756782,0.191589348859266
"92","Dep.Cali","Huila",0.679982184212944,0.233681864617639,0.0863359511694166
"93","DeportesTolima","Huila",0.590899462908253,0.269164998162101,0.139935538929647
"94","JaguaresdeCordoba","Huila",0.521124939649593,0.353475722390346,0.125399337960061
"95","Junior","Huila",0.58080207673579,0.286223170850441,0.132974752413769
"96","Millonarios","Huila",0.702599459002424,0.227194138181262,0.0702064028163138
"97","OnceCaldas","Huila",0.385434802295462,0.374662433165029,0.239902764539509
"98","Petrolera","Huila",0.606622060331592,0.275340979226618,0.11803696044179
"99","SantaFe","Huila",0.479947958220442,0.365625066374557,0.154426975405001
"100","Tigres","Huila",0.338399020923173,0.426593711335899,0.235007267740927
"101","Aguilas","Ind.Medellin",0.244910591409394,0.350039750315191,0.405049658275415
"102","Atl.Nacional","Ind.Medellin",0.735665285944983,0.202145429685941,0.0621892843690754
"103","Cortulua","Ind.Medellin",0.223424369924254,0.26816126851673,0.508414361559017
"104","Huila","Ind.Medellin",0.266984348399113,0.304691644054822,0.428324007546065
"105","JaguaresdeCordoba","Ind.Medellin",0.376344029470779,0.336050333024269,0.287605637504952
"106","Junior","Ind.Medellin",0.392220275005993,0.285030947393235,0.322748777600771
"107","Millonarios","Ind.Medellin",0.552738558891555,0.26035883735391,0.186902603754534
"108","Patriotas","Ind.Medellin",0.359005490422661,0.320193080974354,0.320801428602985
"109","Petrolera","Ind.Medellin",0.42436905788461,0.283373812405684,0.292257129709706
"110","SantaFe","Ind.Medellin",0.32524794523293,0.33039864983766,0.34435340492941
"111","Aguilas","JaguaresdeCordoba",0.266852602879224,0.480631122484004,0.252516274636772
"112","AmericaDeCali","JaguaresdeCordoba",0.51322063895579,0.332255237699786,0.154524123344425
"113","Atl.Nacional","JaguaresdeCordoba",0.682086719602991,0.270286852351119,0.0476264280458892
"114","Dep.Cali","JaguaresdeCordoba",0.5259008318759,0.322663779980085,0.151435388144016
"115","Dep.Pasto","JaguaresdeCordoba",0.557137299079712,0.314066271234952,0.128796429685335
"116","Envigado","JaguaresdeCordoba",0.336325624633036,0.403670144165411,0.260004231201553
"117","Junior","JaguaresdeCordoba",0.428604801529591,0.362220744887104,0.209174453583305
"118","OnceCaldas","JaguaresdeCordoba",0.264735643202999,0.415001912634028,0.320262444162972
"119","SantaFe","JaguaresdeCordoba",0.345593453833119,0.436567076337757,0.217839469829124
"120","Tigres","JaguaresdeCordoba",0.232983334662906,0.46745612278095,0.299560542556145
"121","Aguilas","Junior",0.32146748170284,0.401985186619428,0.276547331677732
"122","AmericaDeCali","Junior",0.596447890479617,0.260904638605019,0.142647470915364
"123","Atl.Nacional","Junior",0.778540560536204,0.184205373630387,0.0372540658334091
"124","Dep.Cali","Junior",0.608793328673897,0.252586230271531,0.138620441054571
"125","Dep.Pasto","Junior",0.643758822733675,0.241358805790651,0.114882371475674
"126","Envigado","Junior",0.393544882953478,0.334453604105196,0.272001512941327
"127","LaEquidad","Junior",0.406817989992645,0.369220038321343,0.223961971686012
"128","OnceCaldas","Junior",0.307672510063563,0.347053128595735,0.345274361340702
"129","SantaFe","Junior",0.412217413811091,0.359140068325087,0.228642517863822
"130","Tigres","Junior",0.274810268531715,0.39130778727198,0.333881944196305
"131","Bucaramanga","LaEquidad",0.393544265370882,0.442739090677894,0.163716643951225
"132","Cortulua","LaEquidad",0.332439109020428,0.380588335293175,0.286972555686397
"133","Dep.Pasto","LaEquidad",0.604828686780262,0.291278427846014,0.103892885373724
"134","DeportesTolima","LaEquidad",0.48631294291279,0.327777977013325,0.185909080073886
"135","Huila","LaEquidad",0.350705024300906,0.413771205404953,0.235523770294141
"136","Ind.Medellin","LaEquidad",0.637173328385563,0.255808715968786,0.107017955645652
"137","JaguaresdeCordoba","LaEquidad",0.422640695246494,0.422633725508291,0.154725579245215
"138","Millonarios","LaEquidad",0.599646753390508,0.298855619001066,0.101497627608427
