g1,g2,team1,team2
1,1,Patriotas,Petrolera
0,4,Aguilas,SantaFe
0,1,Cortulua,SantaFe
0,1,DepPasto,SantaFe
1,1,Fortaleza,SantaFe
1,0,Huila,SantaFe
2,1,Junior,SantaFe
1,0,Millonarios,SantaFe
1,1,OnceCaldas,SantaFe
2,0,Patriotas,SantaFe
0,1,Petrolera,SantaFe
