"","Home.Team","Away.Team","Home","Draw","Away"
"1","OnceCaldas","Aguilas",0.352404035576392,0.433311226402808,0.2142847380208
"2","Dep.Cali","Huila",0.679982184212944,0.233681864617639,0.0863359511694166
"3","SantaFe","JaguaresdeCordoba",0.345593453833119,0.436567076337757,0.217839469829124
"4","Tigres","Junior",0.274810268531715,0.39130778727198,0.333881944196305
"5","Bucaramanga","AmericaDeCali",0.35207892427693,0.384510776804143,0.263410298918927
"6","Cortulua","Atl.Nacional",0.0751724019535933,0.254214315869189,0.670613282177217
"7","Ind.Medellin","Dep.Pasto",0.511938083650252,0.266560529580409,0.221501386769339
"8","Millonarios","DeportesTolima",0.678940360681866,0.219876557942372,0.101183081375762
"9","Patriotas","Envigado",0.507579481191815,0.339289718518116,0.153130800290069
"10","Petrolera","LaEquidad",0.502060060776965,0.340531589930612,0.157408349292423
