"","Home.Team","Away.Team","Home","Draw","Away"
"1","Aguilas","AmericaDeCali",0.0907046949109602,0.295265238545656,0.614030066543384
"2","Aguilas","Atl.Nacional",0.0261085991806791,0.222059129256396,0.751832271562925
"3","Aguilas","Dep.Cali",0.088241030663237,0.283692506284197,0.628066463052566
"4","Aguilas","Dep.Pasto",0.0750019270126595,0.272473182622691,0.65252489036465
"5","Aguilas","DeportesTolima",0.136621060907136,0.317107146273057,0.546271792819807
"6","Aguilas","Envigado",0.168628531260575,0.399269326232627,0.432102142506798
"7","Aguilas","LaEquidad",0.138142937221669,0.440548243523611,0.42130881925472
"8","Aguilas","OnceCaldas",0.2142847380208,0.433311226402808,0.352404035576392
"9","Aguilas","SantaFe",0.141502423450018,0.42738326054423,0.431114316005752
"10","Aguilas","Tigres",0.204672207677347,0.489613990890222,0.305713801432432
"11","AmericaDeCali","Bucaramanga",0.263410298918927,0.384510776804143,0.35207892427693
"12","AmericaDeCali","Cortulua",0.445844965472528,0.305731861692938,0.248423172834534
"13","AmericaDeCali","Dep.Cali",0.201372586591066,0.283044601627684,0.51558281178125
"14","AmericaDeCali","DeportesTolima",0.301670814182403,0.294618857566302,0.403710328251295
"15","AmericaDeCali","Huila",0.371879225768912,0.343748938841507,0.284371835389581
"16","AmericaDeCali","Ind.Medellin",0.179260602512309,0.250104072960057,0.570635324527634
"17","AmericaDeCali","LaEquidad",0.291129009075477,0.378115254387326,0.330755736537196
"18","AmericaDeCali","Millonarios",0.165771345242036,0.281185221406165,0.553043433351799
"19","AmericaDeCali","Patriotas",0.278472973187071,0.353745949601569,0.36778107721136
"20","AmericaDeCali","Petrolera",0.255565887756504,0.308347851392914,0.436086260850582
"21","Atl.Nacional","AmericaDeCali",0.443959115155866,0.354767612812725,0.201273272031409
"22","Atl.Nacional","Bucaramanga",0.444153806782803,0.418531172666745,0.137315020550453
"23","Atl.Nacional","Cortulua",0.670613282177217,0.25421431586919,0.0751724019535933
"24","Atl.Nacional","DeportesTolima",0.563660144837607,0.296469538402693,0.1398703167597
"25","Atl.Nacional","Huila",0.583852824281877,0.319397775829862,0.0967493998882615
"26","Atl.Nacional","Ind.Medellin",0.445293325812087,0.323713559885265,0.230993114302648
"27","Atl.Nacional","LaEquidad",0.480107101247429,0.39526038981396,0.124632508938612
"28","Atl.Nacional","Millonarios",0.386108302930097,0.377345913735221,0.236545783334683
"29","Atl.Nacional","Patriotas",0.483209080426896,0.378023465157491,0.138767454415612
"30","Atl.Nacional","Petrolera",0.495535899872474,0.340224724265908,0.164239375861618
"31","Bucaramanga","Aguilas",0.232687695650128,0.492405696648866,0.274906607701005
"32","Bucaramanga","Cortulua",0.307716822497213,0.390127991588498,0.302155185914289
"33","Bucaramanga","Huila",0.252582189931892,0.42673796764585,0.320679842422258
"34","Bucaramanga","Ind.Medellin",0.123536952219893,0.278280142323393,0.598182905456714
"35","Bucaramanga","JaguaresdeCordoba",0.167689102996242,0.442712303139156,0.389598593864602
"36","Bucaramanga","Junior",0.191936421209029,0.367091314622493,0.440972264168477
"37","Bucaramanga","Millonarios",0.115137648496927,0.323284363928326,0.561577987574747
"38","Bucaramanga","Patriotas",0.18807926699775,0.424182288353435,0.387738444648815
"39","Bucaramanga","Petrolera",0.174331081618368,0.360642684527071,0.465026233854561
"40","Bucaramanga","SantaFe",0.200524353397733,0.444979345299787,0.35449630130248
"41","Cortulua","Aguilas",0.17096646520961,0.372367384128154,0.456666150662236
"42","Cortulua","Dep.Cali",0.0611305418681992,0.182167642197462,0.756701815934339
"43","Cortulua","Dep.Pasto",0.0498407572084095,0.170148386942715,0.780010855848876
"44","Cortulua","Huila",0.16835501424567,0.309618458516568,0.522026527237762
"45","Cortulua","JaguaresdeCordoba",0.102106381981456,0.289784084486746,0.608109533531798
"46","Cortulua","Junior",0.102303297130956,0.231151202809502,0.666545500059542
"47","Cortulua","Millonarios",0.0487382313605022,0.173434494301025,0.777827274338473
"48","Cortulua","Petrolera",0.0890625753949908,0.219725598231535,0.691211826373474
"49","Cortulua","SantaFe",0.128903970314197,0.306152834618248,0.564943195067555
"50","Cortulua","Tigres",0.212651332410976,0.378642329036798,0.408706338552226
"51","Dep.Cali","AmericaDeCali",0.209668089541981,0.286109267519102,0.504222642938917
"52","Dep.Cali","Atl.Nacional",0.0590274403105943,0.2209291022709,0.720043457418506
"53","Dep.Cali","Bucaramanga",0.269950962936244,0.377434873489512,0.352614163574244
"54","Dep.Cali","DeportesTolima",0.308157592922281,0.290161143888945,0.401681263188774
"55","Dep.Cali","Envigado",0.361539687293436,0.329800470457313,0.308659842249252
"56","Dep.Cali","Ind.Medellin",0.182640158196063,0.247479037353275,0.569880804450662
"57","Dep.Cali","LaEquidad",0.298683310332395,0.370657879560759,0.330658810106846
"58","Dep.Cali","OnceCaldas",0.443532576485037,0.325135303179474,0.23133212033549
"59","Dep.Cali","Patriotas",0.285161396861461,0.347588707089971,0.367249896048568
"60","Dep.Cali","Tigres",0.421830507234612,0.366970896058621,0.211198596706767
"61","Dep.Pasto","AmericaDeCali",0.246329060826666,0.304080469864913,0.449590469308421
"62","Dep.Pasto","Atl.Nacional",0.0752225311862341,0.251545056463569,0.673232412350197
"63","Dep.Pasto","Bucaramanga",0.300736099638729,0.389116940523165,0.310146959838106
"64","Dep.Pasto","Cortulua",0.497317180293407,0.294411020027903,0.20827179967869
"65","Dep.Pasto","Dep.Cali",0.242993043640536,0.297350275548357,0.459656680811107
"66","Dep.Pasto","Envigado",0.400911586144302,0.33314307252558,0.265945341330118
