"HOME","AWAY","DRAW"
"PROB",0.614030066543384,0.0907046949109601,0.295265238545656
"PROB",0.751832271562926,0.026108599180679,0.222059129256395
"PROB",0.628066463052566,0.0882410306632368,0.283692506284197
"PROB",0.65252489036465,0.0750019270126594,0.272473182622691
"PROB",0.546271792819808,0.136621060907135,0.317107146273057
"PROB",0.432102142506799,0.168628531260574,0.399269326232627
"PROB",0.42130881925472,0.138142937221669,0.440548243523611
"PROB",0.352404035576392,0.2142847380208,0.433311226402808
"PROB",0.431114316005752,0.141502423450018,0.42738326054423
"PROB",0.305713801432432,0.204672207677347,0.489613990890222
"PROB",0.35207892427693,0.263410298918927,0.384510776804143
"PROB",0.248423172834534,0.445844965472528,0.305731861692938
"PROB",0.51558281178125,0.201372586591065,0.283044601627684
"PROB",0.403710328251295,0.301670814182403,0.294618857566302
"PROB",0.284371835389582,0.371879225768912,0.343748938841507
"PROB",0.570635324527634,0.179260602512309,0.250104072960057
"PROB",0.330755736537196,0.291129009075477,0.378115254387326
"PROB",0.553043433351799,0.165771345242036,0.281185221406165
"PROB",0.367781077211361,0.278472973187071,0.353745949601568
"PROB",0.436086260850582,0.255565887756504,0.308347851392914
"PROB",0.201273272031409,0.443959115155866,0.354767612812725
"PROB",0.137315020550453,0.444153806782803,0.418531172666745
"PROB",0.0751724019535933,0.670613282177217,0.254214315869189
"PROB",0.1398703167597,0.563660144837607,0.296469538402693
"PROB",0.0967493998882616,0.583852824281877,0.319397775829862
"PROB",0.230993114302648,0.445293325812087,0.323713559885264
"PROB",0.124632508938612,0.480107101247429,0.39526038981396
"PROB",0.236545783334683,0.386108302930097,0.37734591373522
"PROB",0.138767454415613,0.483209080426896,0.378023465157491
"PROB",0.164239375861618,0.495535899872474,0.340224724265908
"PROB",0.274906607701005,0.232687695650128,0.492405696648867
"PROB",0.302155185914289,0.307716822497214,0.390127991588498
"PROB",0.320679842422258,0.252582189931892,0.42673796764585
"PROB",0.598182905456714,0.123536952219893,0.278280142323393
"PROB",0.389598593864602,0.167689102996242,0.442712303139156
"PROB",0.440972264168478,0.191936421209029,0.367091314622494
"PROB",0.561577987574747,0.115137648496927,0.323284363928326
"PROB",0.387738444648815,0.18807926699775,0.424182288353435
"PROB",0.465026233854561,0.174331081618368,0.360642684527071
"PROB",0.35449630130248,0.200524353397733,0.444979345299787
"PROB",0.456666150662236,0.17096646520961,0.372367384128154
