g1,g2,team1,team2
0,0,Envigado,Petrolera
0,2,JaguaresdeCordoba,Petrolera
1,1,Junior,Petrolera
0,2,OnceCaldas,Petrolera
1,1,SantaFe,Petrolera
1,1,Tigres,Petrolera
0,1,AmericaDeCali,SantaFe
3,1,Atl.Nacional,SantaFe
0,0,Dep.Cali,SantaFe
3,1,Dep.Pasto,SantaFe
3,1,DeportesTolima,SantaFe
0,1,Envigado,SantaFe
0,0,LaEquidad,SantaFe
3,0,Millonarios,SantaFe
0,0,OnceCaldas,SantaFe
1,1,Tigres,SantaFe
2,0,AmericaDeCali,Tigres
0,0,Atl.Nacional,Tigres
0,1,Bucaramanga,Tigres
3,0,DeportesTolima,Tigres
3,2,Envigado,Tigres
3,0,Ind.Medellin,Tigres
2,1,JaguaresdeCordoba,Tigres
0,0,LaEquidad,Tigres
0,0,OnceCaldas,Tigres
3,0,Patriotas,Tigres
