"","Home.Team","Away.Team","Goals H","Goals A","Probability"
"104","SantaFe","JaguaresdeCordoba",5,1,0.000335690909689897
"105","SantaFe","JaguaresdeCordoba",5,2,0.000137106349066365
"106","SantaFe","JaguaresdeCordoba",5,3,4.56284777241486e-05
"107","SantaFe","JaguaresdeCordoba",5,4,1.22171463880484e-05
"108","SantaFe","JaguaresdeCordoba",5,5,0.000336138995567334
"109","Tigres","Junior",0,0,0.207810240468498
"110","Tigres","Junior",0,1,0.158976249192069
"111","Tigres","Junior",0,2,0.0658001183388126
"112","Tigres","Junior",0,3,0.0184169448689631
"113","Tigres","Junior",0,4,0.00391545226506356
"114","Tigres","Junior",0,5,0.000673386143266871
"115","Tigres","Junior",1,0,0.138033361451181
"116","Tigres","Junior",1,1,0.142043675127141
"117","Tigres","Junior",1,2,0.0558065828344439
"118","Tigres","Junior",1,3,0.0162655166758334
"119","Tigres","Junior",1,4,0.00352966897760135
"120","Tigres","Junior",1,5,0.000611209179442468
"121","Tigres","Junior",2,0,0.0501521123694865
"122","Tigres","Junior",2,1,0.048368114603798
"123","Tigres","Junior",2,2,0.0333147728614471
"124","Tigres","Junior",2,3,0.00724473439672996
"125","Tigres","Junior",2,4,0.00166739772984089
"126","Tigres","Junior",2,5,0.000301732376301738
"127","Tigres","Junior",3,0,0.0124168324976607
"128","Tigres","Junior",3,1,0.0122575986825739
"129","Tigres","Junior",3,2,0.00622546332593846
"130","Tigres","Junior",3,3,0.00634498633204121
"131","Tigres","Junior",3,4,0.000537375472686658
"132","Tigres","Junior",3,5,0.000106516549656819
"133","Tigres","Junior",4,0,0.00234601292424019
"134","Tigres","Junior",4,1,0.00232457106047067
"135","Tigres","Junior",4,2,0.0012277969487665
"136","Tigres","Junior",4,3,0.000454898549073641
"137","Tigres","Junior",4,4,0.0014541607983474
"138","Tigres","Junior",4,5,2.90591955925435e-05
"139","Tigres","Junior",5,0,0.00035938692052909
"140","Tigres","Junior",5,1,0.000353675953113558
"141","Tigres","Junior",5,2,0.000190640698423564
"142","Tigres","Junior",5,3,7.56777887531241e-05
"143","Tigres","Junior",5,4,2.41247577061154e-05
"144","Tigres","Junior",5,5,0.000339951684506045
"145","Bucaramanga","AmericaDeCali",0,0,0.20173508948025
"146","Bucaramanga","AmericaDeCali",0,1,0.133438092847934
"147","Bucaramanga","AmericaDeCali",0,2,0.0472570256444392
"148","Bucaramanga","AmericaDeCali",0,3,0.0111931359751282
"149","Bucaramanga","AmericaDeCali",0,4,0.00199464641900509
"150","Bucaramanga","AmericaDeCali",0,5,0.000285238811891676
"151","Bucaramanga","AmericaDeCali",1,0,0.164123433682886
"152","Bucaramanga","AmericaDeCali",1,1,0.140984992840243
"153","Bucaramanga","AmericaDeCali",1,2,0.0468272554836885
"154","Bucaramanga","AmericaDeCali",1,3,0.0116136465241489
"155","Bucaramanga","AmericaDeCali",1,4,0.002145062202692
"156","Bucaramanga","AmericaDeCali",1,5,0.000315239039005087
"157","Bucaramanga","AmericaDeCali",2,0,0.0714173218350341
"158","Bucaramanga","AmericaDeCali",2,1,0.057527055080245
"159","Bucaramanga","AmericaDeCali",2,2,0.0334483032384579
"160","Bucaramanga","AmericaDeCali",2,3,0.00625387758850459
"161","Bucaramanga","AmericaDeCali",2,4,0.00124990067001676
"162","Bucaramanga","AmericaDeCali",2,5,0.0001978670581074
"163","Bucaramanga","AmericaDeCali",3,0,0.020761605053921
"164","Bucaramanga","AmericaDeCali",3,1,0.017509697732177
"165","Bucaramanga","AmericaDeCali",3,2,0.0076749334205923
"166","Bucaramanga","AmericaDeCali",3,3,0.00651120968355138
"167","Bucaramanga","AmericaDeCali",3,4,0.000514235150151763
"168","Bucaramanga","AmericaDeCali",3,5,9.16664503088874e-05
"169","Bucaramanga","AmericaDeCali",4,0,0.0045357439615715
"170","Bucaramanga","AmericaDeCali",4,1,0.00396546561524164
"171","Bucaramanga","AmericaDeCali",4,2,0.00188105061301073
