"","Home.Team","Away.Team","Goals H","Goals A","Probability","Game"
"97","Dep.Cali","Aguilas",4,0,0.0312496506486204,3
"98","Dep.Cali","Aguilas",4,1,0.0153311285985277,3
"99","Dep.Cali","Aguilas",4,2,0.00406382198342535,3
"100","Dep.Cali","Aguilas",4,3,0.000744025606979465,3
"101","Dep.Cali","Aguilas",4,4,0.00143385584412712,3
"102","Dep.Cali","Aguilas",4,5,1.08793364104323e-05,3
"103","Dep.Cali","Aguilas",5,0,0.00973562353590454,3
"104","Dep.Cali","Aguilas",5,1,0.00487027651610205,3
"105","Dep.Cali","Aguilas",5,2,0.00137518682791168,3
"106","Dep.Cali","Aguilas",5,3,0.000279520811872539,3
"107","Dep.Cali","Aguilas",5,4,4.3502100387457e-05,3
"108","Dep.Cali","Aguilas",5,5,0.000340722662713434,3
"109","Dep.Pasto","Aguilas",0,0,0.145059366413944,4
"110","Dep.Pasto","Aguilas",0,1,0.0449807314508678,4
"111","Dep.Pasto","Aguilas",0,2,0.00837019417384682,4
"112","Dep.Pasto","Aguilas",0,3,0.00112751873460792,4
"113","Dep.Pasto","Aguilas",0,4,0.000121503503360641,4
"114","Dep.Pasto","Aguilas",0,5,1.09524979572567e-05,4
"115","Dep.Pasto","Aguilas",1,0,0.208800468873423,4
"116","Dep.Pasto","Aguilas",1,1,0.0954243560854041,4
"117","Dep.Pasto","Aguilas",1,2,0.0155303881154091,4
"118","Dep.Pasto","Aguilas",1,3,0.00211931835895907,4
"119","Dep.Pasto","Aguilas",1,4,0.000225802808407398,4
"120","Dep.Pasto","Aguilas",1,5,1.99301092230015e-05,4
"121","Dep.Pasto","Aguilas",2,0,0.166103965137396,4
"122","Dep.Pasto","Aguilas",2,1,0.0676627889104411,4
"123","Dep.Pasto","Aguilas",2,2,0.0246111852013927,4
"124","Dep.Pasto","Aguilas",2,3,0.00206805858660799,4
"125","Dep.Pasto","Aguilas",2,4,0.000224958022136644,4
"126","Dep.Pasto","Aguilas",2,5,1.97611368461363e-05,4
"127","Dep.Pasto","Aguilas",3,0,0.0887070860736826,4
"128","Dep.Pasto","Aguilas",3,1,0.0379313198761398,4
